Co_ID,Exchange,Name,"Root
Ticker"," QMV(C$)
31-August-2019 "," O/S Shares
31-August-2019 ",Sector,"Sub
Sector",Listing Type,"Date of 
TSX Listing
YYYYMMDD","HQ
Location","HQ
Region","Interlisted
Code_I","Interlisted
Code_II",Listed on OTC,"TSX 
Venture 
Grad","Former
CPC",Index,Clean Technology Primary Industry,Clean Technology Sub-Sector,Technology Sub-Sector ,"Consumer Products & Services
Sub-Sector",Real Estate Sub-Sector ,Life Sciences Sub-Sector,USA_City,USA_State,Asia Region,Israel Related,"Place of Incorporation
C=Canada
U=USA
F=Foreign",Fund Family,SP Grouping,SP_Type,SP_Sub,"Income Trust 
Conversion"," Volume YTD
31-August-2019 "," Value (C$) YTD
31-August-2019 "," Number of 
Trades YTD
31-August-2019 "," Number of
Months of 
Trading Data ",AFRICA,AUS/NZ/PNG,CANADA,CHINA & ASIA,LATIN AMERICA,OTHER,UK/EUROPE,USA,Oil and Gas,Gold,Silver,Copper,Nickel,Diamond,Molybdenum,Platinum/PGM,Iron,Lead,Zinc,Rare Earths,Potash,Lithium,Uranium,Coal,Tungsten,Base & Precious Metals,Mineral Properties (General),Other Properties
FIV0003,TSX,5N Plus Inc.,VNP," 195,022,756 "," 83,343,058 ", Clean Technology ,,IPO,20071219,Quebec,Canada,,,,,,,Industrial Products & Services,Renewable Energy Equipment Manufacturing and Tech,,,,,,,,,C,,,,,," 11,223,232 "," 34,925,062 "," 17,687 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAW0001,TSX,A&W Revenue Royalties Income Fund,AW," 571,728,957 "," 14,064,673 ", Consumer Products & Services ,,,20020214,BC,Canada,,,,,,,,,,Consumer Discretionary,,,,,,,C,,Income Trust,,Business Trust,," 3,993,858 "," 167,438,692 "," 27,248 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIR0005,TSX,Aberdeen Asia-Pacific Income Investment Company Ltd.,FAP," 177,851,156 "," 50,814,616 ", Closed-End Funds ,,,19860611,USA,USA,,,,,,,,,,,,,Philadelphia,PA,,,F,Aberdeen,Other SPI,Fund of Equities,FI Trust,," 8,717,553 "," 32,356,147 "," 11,449 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABE0005,TSX,Aberdeen International Inc.,AAB," 4,802,614 "," 96,052,282 ", Financial Services ,,TSXV Grad,20080130,ON,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 19,325,727 "," 970,480 ", 798 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABS0003,TSX,Absolute Software Corporation,ABT," 328,576,276 "," 41,697,497 ", Technology ,,TSXV Grad,20051202,BC,Canada,,,,1,,,,,Software,,,,,,,,C,,,,,," 20,236,020 "," 171,579,497 "," 61,700 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA0004,TSX,Acadian Timber Corp.,ADN," 270,494,908 "," 16,686,916 ", Industrial Products & Services ,Forest Products & Paper,IPO,20060130,BC,Canada,,,,,,,,,,,,,,,,,C,,,,,2010," 1,875,962 "," 31,006,439 "," 11,418 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACA0006,TSX,Acasta Enterprises Inc.,AEF," 59,091,414 "," 73,864,268 ", Financial Services ,,QA,20170106,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 2,910,300 "," 857,891 ", 507 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0007,TSX,Accelerate Absolute Return Hedge Fund,HDGE," 1,085,000 "," 50,000 ", ETP ,,IPO,20190510,AB,Canada,,,,,,,,,,,,,,,,,C,Accelerate,ETP,Exchange Traded Funds,,," 2,400 "," 48,969 ", 25 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0008,TSX,Accelerate Enhanced Canadian Benchmark Alternative Fund,ATSX," 1,035,500 "," 50,000 ", ETP ,,IPO,20190510,AB,Canada,,,,,,,,,,,,,,,,,C,Accelerate,ETP,Exchange Traded Funds,,," 2,576 "," 51,514 ", 15 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0009,TSX,Accelerate Private Equity Alpha Fund,ALFA," 855,000 "," 50,000 ", ETP ,,IPO,20190510,AB,Canada,,,,,,,,,,,,,,,,,C,Accelerate,ETP,Exchange Traded Funds,,," 1,255 "," 22,874 ", 13 , 4 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC0002,TSX,Accord Financial Corp.,ACD," 94,128,312 "," 8,652,283 ", Financial Services ,,,19920617,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 186,941 "," 2,964,982 ", 706 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRI0056,TSX,Acerus Pharmaceuticals Corporation,ASP," 31,347,035 "," 261,225,290 ", Life Sciences ,,TSXV Grad,20110719,ON,Canada,,,,1,1,,,,,,,Pharmaceuticals,,,,,C,,,,,," 18,188,661 "," 2,434,513 "," 2,714 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V-04034,TSX,AcuityAds Holdings Inc.,AT," 61,550,043 "," 47,713,212 ", Technology ,,TSXV Grad,20190626,ON,Canada,,,,1,1,,,,Internet Software & Services,,,,,,,,C,,,,,," 7,350,995 "," 10,161,290 "," 10,830 ", 3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADF0001,TSX,ADF Group Inc.,DRX," 21,035,914 "," 18,292,099 ", Industrial Products & Services ,,,19990720,Quebec,Canada,,,,,,,,,,,,,,,,,C,,,,,," 1,856,113 "," 2,222,731 "," 1,503 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADV0011,TSX,Advantage Oil & Gas Ltd.,AAV," 276,628,055 "," 186,910,848 ", Oil & Gas ,,,20010529,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,2009," 110,488,714 "," 228,327,931 "," 183,532 ", 8 ,,,"AB,BC,SK",,,,,,1,,,,,,,,,,,,,,,,,,,
ADV0016,TSX,Advantaged Canadian High Yield Bond Fund,AHY," 15,832,708 "," 2,177,814 ", Closed-End Funds ,,IPO,20110330,ON,Canada,,,,,,,,,,,,,,,,,C,Scotia,Other SPI,Fund of Debt,FI Trust,," 129,158 "," 972,314 ", 210 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CON0091,TSX,Advanz Pharma Corp.,ADVZ," 719,028,303 "," 48,913,490 ", Life Sciences ,,TSXV Grad,20131224,ON,Canada,,,,1,1,,,,,,,Pharmaceuticals,,,,,C,,,,,," 639,517 "," 13,476,926 "," 5,172 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARM0003,TSX,Aecon Group Inc.,ARE," 1,316,865,152 "," 62,601,555 ", Industrial Products & Services ,,,19871231,ON,Canada,,,,,,1,,,,,,,,,,,C,,,,,," 60,393,781 "," 1,159,999,915 "," 271,603 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AET0001,TSX,AEterna Zentaris Inc.,AEZS," 49,815,503 "," 16,440,760 ", Life Sciences ,,,19951218,Quebec,Canada,NasdaqCM,,,,,,,,,,,Biotechnology,,,,,C,,,,,," 4,176,201 "," 21,256,027 "," 29,053 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFR0006,TSX,Africa Oil Corp.,AOI," 541,896,582 "," 471,214,419 ", Oil & Gas ,,TSXV Grad,20140506,BC,Canada,Nasdaq Nordic,,,1,,,,,,,,,,,,,C,,,,,," 12,681,968 "," 14,915,032 "," 19,693 ", 8 ,"Ethiopia, Kenya, Somalia",,,,,,,,1,,,,,,,,,,,,,,,,,,,
AGG0001,TSX,AG Growth International Inc.,AFN," 1,144,649,703 "," 21,981,632 ", Industrial Products & Services ,Agriculture,,20040517,MB,Canada,,,,,,1,,,,,,,,,,,C,,,,,2009," 10,788,236 "," 646,252,047 "," 81,162 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGF0004,TSX,AGF Management Limited,AGF," 443,273,090 "," 79,155,909 ", Financial Services ,,,19680819,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 21,157,881 "," 112,841,975 "," 62,320 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUA0009,TSX,AGFiQ Enhanced Core Canadian Equity ETF,QCD," 100,947,500 "," 3,725,000 ", ETP ,,IPO,20170130,ON,Canada,,,,,,,,,,,,,,,,,C,AGFiQ,ETP,Exchange Traded Funds,,," 211,488 "," 5,700,895 ", 338 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUA0010,TSX,AGFiQ Enhanced Core Emerging Markets Equity ETF,QEM," 83,500,000 "," 3,125,000 ", ETP ,,IPO,20170130,ON,Canada,,,,,,,,,,,,,,,,,C,AGFiQ,ETP,Exchange Traded Funds,,," 214,561 "," 6,014,746 ", 710 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUA0011,TSX,AGFiQ Enhanced Core International Equity ETF,QIE," 47,285,000 "," 1,750,000 ", ETP ,,IPO,20170130,ON,Canada,,,,,,,,,,,,,,,,,C,AGFiQ,ETP,Exchange Traded Funds,,," 217,822 "," 6,029,438 ", 503 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUA0012,TSX,AGFiQ Enhanced Core US Equity ETF,QUS," 150,720,000 "," 4,800,000 ", ETP ,,IPO,20170130,ON,Canada,,,,,,,,,,,,,,,,,C,AGFiQ,ETP,Exchange Traded Funds,,," 509,069 "," 15,532,244 ", 894 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUA0013,TSX,AGFiQ Global Equity Rotation ETF,QGL," 2,887,000 "," 100,000 ", ETP ,,IPO,20170130,ON,Canada,,,,,,,,,,,,,,,,,C,AGFiQ,ETP,Exchange Traded Funds,,," 14,566 "," 419,014 ", 61 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUA0014,TSX,AGFiQ MultiAsset Allocation ETF,QMA," 2,864,000 "," 100,000 ", ETP ,,IPO,20170130,ON,Canada,,,,,,,,,,,,,,,,,C,AGFiQ,ETP,Exchange Traded Funds,,," 22,826 "," 644,511 ", 34 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QUA0015,TSX,AGFiQ MultiAsset Income Allocation ETF,QMY," 2,641,000 "," 100,000 ", ETP ,,IPO,20170130,ON,Canada,,,,,,,,,,,,,,,,,C,AGFiQ,ETP,Exchange Traded Funds,,," 14,065 "," 364,728 ", 29 , 5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COM0010,TSX,AgJunction Inc.,AJX," 56,909,588 "," 118,561,641 ", Technology ,Agriculture,,19970312,USA,USA,,,,,,,,,Software,,,,Hiawatha,KS,,,C,,,,,," 10,398,594 "," 5,658,933 "," 2,143 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGN0001,TSX,Agnico Eagle Mines Limited,AEM," 19,834,740,099 "," 238,283,759 ", Mining ,,,19571227,ON,Canada,NYSE,,,,,60,,,,,,,,,,,C,,,,,," 140,709,330 "," 8,701,113,851 "," 1,017,569 ", 8 ,,,"NU,Quebec",,Mexico,,"Finland,Sweden",AK,,1,1,1,,,,,,,1,,,,,,,1,,
AER0002,TSX,Aimia Inc.,AIM," 575,700,674 "," 123,852,014 ", Consumer Products & Services ,,IPO,20050628,Quebec,Canada,,,,,,,,,,Consumer Discretionary,,,,,,,C,,,,,2008," 105,549,935 "," 453,852,957 "," 209,437 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR0001,TSX,Air Canada,AC," 11,907,549,293 "," 266,090,487 ", Consumer Products & Services ,,IPO,20061123,Quebec,Canada,,,OTCQX,,,1,,,,Consumer Discretionary,,,,,,,C,,,,,," 204,641,288 "," 7,476,145,371 "," 1,054,958 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIR0002,TSX,AirBoss of America Corp.,BOS," 182,694,972 "," 23,392,442 ", Consumer Products & Services ,,,19920603,ON,Canada,,,,,,,,,,Consumer Discretionary,,,,,,,C,,,,,," 2,016,769 "," 17,452,390 "," 6,754 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKI0001,TSX,Akita Drilling Ltd.,AKT," 70,653,073 "," 39,608,191 ", Industrial Products & Services ,Energy Services,,19930108,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,," 5,438,552 "," 14,716,164 "," 3,685 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AKU0001,TSX,Akumin Inc.,AKU," 202,800,747 "," 69,215,272 ", Life Sciences ,,IPO,20171201,ON,Canada,,,,,,,,,,,,Healthcare Services and Supplies,,,,,C,,,,,," 5,356,146 "," 19,779,923 "," 5,730 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANA0004,TSX,Alacer Gold Corp.,ASR," 1,720,949,246 "," 294,683,090 ", Mining ,,TSXV Grad,20030718,USA,USA,ASX,,,1,,1,,,,,,,Lakewood,CO,,,C,,,,,," 162,603,327 "," 670,428,184 "," 387,254 ", 8 ,,,,,,,Turkey,,,1,1,1,,,,,,,1,,,,,,,,,
ALA0001,TSX,Alamos Gold Inc.,AGI," 3,657,653,840 "," 389,941,774 ", Mining ,,TSXV Grad,20040621,ON,Canada,NYSE,,,1,1,1,,,,,,,,,,,C,,,,,," 158,642,886 "," 1,095,336,767 "," 499,733 ", 8 ,,,"MB, ON",,Mexico,,Turkey,OR,,1,,,,,,,,,,,,,,,,,,
ALA0004,TSX,Alaris Royalty Corp.,AD," 803,503,395 "," 37,614,247 ", Financial Services ,,Other,20081118,AB,Canada,,,,,,1,,,,,,,,,,,C,,,,,," 28,460,800 "," 590,995,660 "," 150,820 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIQ0002,TSX,Alcanna Inc.,CLIQ," 263,870,722 "," 37,897,209 ", Consumer Products & Services ,,IPO,20040927,AB,Canada,,,,,,,,,,Consumer Staples,,,,,,,C,,,,,2011," 19,791,886 "," 114,496,891 "," 70,736 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALD0003,TSX,Alderon Iron Ore Corp.,IRON," 32,748,069 "," 139,353,486 ", Mining ,,TSXV Grad,20111012,BC,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 11,466,467 "," 4,005,100 "," 4,783 ", 8 ,,,NL,,,,,,,,,,,,,,1,,,,,,,,,,,
ALE0009,TSX,Aleafia Health Inc.,ALEF," 298,920,605 "," 272,355,605 ", Life Sciences ,Cannabis,TSXV Grad,20190319,ON,Canada,,,OTCQX,1,,,,,,,,Medical Marijuana,,,,,C,,,,,," 150,754,699 "," 215,984,407 "," 142,660 ", 6 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALE0007,TSX,Alexco Resource Corp.,AXU," 377,892,461 "," 116,994,570 ", Mining ,,IPO,20060125,BC,Canada,NYSE MKT,,,,,,,,,,,,,,,,C,,,,,," 24,154,610 "," 49,603,338 "," 61,615 ", 8 ,,,YT,,,,,,,,1,,,,,,,1,1,,,,,,,,,
ALG0003,TSX,Algoma Central Corporation,ALC," 592,364,724 "," 39,012,715 ", Industrial Products & Services ,,,19580527,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 923,969 "," 20,411,136 "," 3,541 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALG0006,TSX,Algonquin Power & Utilities Corp.,AQN," 8,790,162,600 "," 504,390,954 ", Clean Technology ,,,19971223,ON,Canada,NYSE,,,,,1,Utilities & Pipelines,Renewable Energy Production and Distribution,,,,,,,,,C,,,,,2009," 184,157,446 "," 2,850,618,051 "," 645,103 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALI0006,TSX,Alignvest Acquisition II Corporation,AQY," 12,231,173 "," 1,235,472 ", SPAC ,,IPO,20170525,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 20,846,579 "," 116,378,997 "," 1,348 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALI0002,TSX,Alimentation Couche-Tard Inc.,ATD," 47,309,772,666 "," 564,177,168 ", Consumer Products & Services ,,Other,19991206,Quebec,Canada,,,,,,60,,,,Consumer Staples,,,,,,,C,,,,,," 146,322,656 "," 11,503,215,330 "," 903,624 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TIM0009,TSX,Alio Gold Inc.,ALO," 78,777,643 "," 84,707,143 ", Mining ,,TSXV Grad,20110323,BC,Canada,NYSE MKT,,,1,,,,,,,,,,,,,C,,,,,," 16,558,457 "," 17,571,205 "," 22,245 ", 8 ,,,,,Mexico,,,NV,,1,,,,,,,,,,,,,,,,,,
ALI0007,TSX,Alithya Group Inc.,ALYA," 178,968,332 "," 48,500,903 ", Technology ,,Other,20181102,Quebec,Canada,NasdaqCM,,,,,,,,IT Consulting & Services,,,,,,,,C,,,,,," 8,192,485 "," 31,310,791 "," 13,966 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL0021,TSX,Allbanc Split Corp. II,ALB," 36,023,149 "," 1,470,933 ", Closed-End Funds ,,IPO,20060208,ON,Canada,,,,,,,,,,,,,,,,,C,Scotia,Other SPI,Split Shares,Split Share Corp.,," 72,972 "," 1,865,320 ", 267 , 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL0018,TSX,Allied Properties Real Estate Investment Trust,AP," 6,104,293,808 "," 116,272,263 ", Real Estate ,,IPO,20030219,ON,Canada,,,,,,1,,,,,Industrial/Office/Retail/Residential,,,,,,C,,Income Trust,,REIT,," 35,376,010 "," 1,705,600,851 "," 218,025 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAI0002,TSX,Almaden Minerals Ltd.,AMM," 108,374,917 "," 111,726,719 ", Mining ,,TSXV Grad,19900518,BC,Canada,NYSE MKT,,,1,,,,,,,,,,,,,C,,,,,," 7,015,482 "," 6,161,729 "," 7,622 ", 8 ,,,YT,,Mexico,,,NV,,1,1,1,,,,,,,1,,,,,,,1,,
ALM0005,TSX,Almonty Industries Inc.,AII," 143,319,609 "," 181,417,226 ", Mining ,,TSXV Grad,20180601,ON,Canada,,,OTCQX,1,1,,,,,,,,,,,,C,,,,,," 8,922,346 "," 7,706,432 "," 4,500 ", 8 ,,Australia,,Korea,,,"Portugal, Spain",,,,,,,,,,,,,,,,,,1,,,
ALT0025,TSX,AltaGas Canada Inc.,ACI," 753,000,000 "," 30,000,000 ", Utilities & Pipelines ,,IPO,20181025,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,," 9,316,537 "," 190,705,725 "," 46,377 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALT0015,TSX,AltaGas Ltd.,ALA," 5,943,475,358 "," 329,214,345 ", Industrial Products & Services ,Energy Services,TSXV Grad,20000117,AB,Canada,,,,1,,1,,,,,,,,,,,C,,,,,2004_2010," 159,408,673 "," 2,761,851,231 "," 615,425 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALT0013,TSX,Altius Minerals Corporation,ALS," 575,327,974 "," 52,783,796 ", Mining ,,TSXV Grad,20070115,NL,Canada,,,,1,1,,,,,,,,,,,,C,,,,,," 8,394,054 "," 102,567,752 "," 49,300 ", 8 ,,,NL,,Brazil,,,MI,,,,1,1,,,1,1,,1,,1,,1,1,,,,"Cobalt,Royalty Streaming"
ALT0022,TSX,Altus Group Limited,AIF," 1,556,622,795 "," 39,913,405 ", Technology ,,IPO,20050518,ON,Canada,,,,,,1,,,Software,,,,,,,,C,,,,,2011," 14,034,292 "," 416,135,231 "," 96,317 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AME0023,TSX,American Hotel Income Properties REIT LP,HOT," 583,361,110 "," 78,656,961 ", Real Estate ,,IPO,20130220,BC,Canada,,,OTCQX,,,,,,,,Industrial/Office/Retail/Residential,,,,,,C,,Income Trust,,REIT,," 24,741,723 "," 177,907,252 "," 72,341 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCO0013,TSX,Americas Silver Corporation,USA," 371,194,349 "," 82,487,633 ", Mining ,,TSXV Grad,20061018,ON,Canada,NYSE MKT,,,1,,,,,,,,,,,,,C,,,,,," 30,412,571 "," 103,856,496 "," 114,441 ", 8 ,,,,,Mexico,,,ID,,,1,,,,,,,,,,,,,,,,,
AME0021,TSX,Amerigo Resources Ltd.,ARG," 106,299,917 "," 180,169,351 ", Mining ,,TSXV Grad,20040323,BC,Canada,,,OTCQX,1,,,,,,,,,,,,,C,,,,,," 18,544,631 "," 15,677,354 "," 11,111 ", 8 ,,,,,Chile,,,,,,,1,,,1,,,,,,,,,,,,,
ANA0005,TSX,Anaconda Mining Inc.,ANX," 31,519,075 "," 134,123,725 ", Mining ,,TSXV Grad,20070418,ON,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 25,422,152 "," 7,384,205 "," 7,461 ", 8 ,,,"NL,NS",,,,,,,1,,,,,,,,,,,,,,,,,,
AND0004,TSX,Andrew Peller Limited/Andrew Peller Limitee,ADW," 625,147,923 "," 44,187,142 ", Consumer Products & Services ,,,19720829,ON,Canada,,,,,,,,,,Consumer Staples,,,,,,,C,,,,,," 4,333,553 "," 60,107,955 "," 16,355 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANG0008,TSX,Anglo Pacific Group PLC,APY," 562,558,215 "," 181,470,392 ", Mining ,,Other,20100709,UK,UK/Europe,LSE,,,,,,,,,,,,,,,,F,,,,,," 364,427 "," 1,253,370 ", 174 , 8 ,Liberia,Australia,"BC,ON",,Brazil,,Spain,,,1,1,1,1,,,,1,,,,,,1,1,,,,"Cobalt, Royalty Streaming"
APH0001,TSX,Aphria Inc.,APHA," 2,106,218,217 "," 251,039,120 ", Life Sciences ,Cannabis,TSXV Grad,20170322,ON,Canada,NYSE,,OTCQB,1,1,1,,,,,,Medical Marijuana,,,,,C,,,,,," 655,074,369 "," 7,035,339,531 "," 1,431,288 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOR0001,TSX,Aptose Biosciences Inc.,APS," 177,429,005 "," 55,446,564 ", Life Sciences ,,,19930604,ON,Canada,NasdaqCM,,,,,,,,,,,Biotechnology,,,,,C,,,,,," 3,879,214 "," 11,425,801 "," 21,648 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQU0010,TSX,Aquila Resources Inc.,AQA," 64,274,066 "," 338,284,556 ", Mining ,,TSXV Grad,20070528,ON,Canada,,,,1,,,,,,,,,,,,,C,,,,,," 5,394,261 "," 1,088,069 "," 1,974 ", 8 ,,,,,,,,"MI,WI",,1,,1,1,,,,,,1,,,,,,,,,
ARC0002,TSX,ARC Resources Ltd.,ARX," 1,990,343,288 "," 354,153,610 ", Oil & Gas ,,,19960711,AB,Canada,,,,,,1,,,,,,,,,,,C,,,,,2011," 352,274,638 "," 2,907,910,174 "," 852,973 ", 8 ,,,"AB,BC,SK",,,,,,1,,,,,,,,,,,,,,,,,,,
ARG0009,TSX,Argonaut Gold Inc.,AR," 435,062,116 "," 178,304,146 ", Mining ,,TSXV Grad,20091230,USA,USA,,,,1,1,,,,,,,,Reno,NV,,,C,,,,,," 72,075,083 "," 143,015,649 "," 104,137 ", 8 ,,,ON,,Mexico,,,,,,,,,,,,,,,,,,,,,,,
ARI0010,TSX,Aritzia Inc.,ATZ," 1,413,891,905 "," 83,366,268 ", Consumer Products & Services ,,IPO,20161003,BC,Canada,,,,,,1,,,,Consumer Discretionary,,,,,,,C,,,,,," 52,089,641 "," 908,188,169 "," 247,455 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WES0061,TSX,Artis Real Estate Investment Trust,AX," 2,028,293,544 "," 153,320,000 ", Real Estate ,,TSXV Grad,20060417,MB,Canada,,,,1,1,1,,,,,Diversified,,,,,,C,,Income Trust,,REIT,," 64,992,046 "," 760,725,963 "," 219,933 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEE0001,TSX,Asanko Gold Inc.,AKG," 300,320,137 "," 225,804,614 ", Mining ,,TSXV Grad,20081222,BC,Canada,NYSE MKT,,,1,1,,,,,,,,,,,,C,,,,,," 21,368,643 "," 20,558,078 "," 19,029 ", 8 ,Ghana,,,,,,,,,1,,,,,,,,,,,,,,,,,,
ASC0006,TSX,Ascendant Resources Inc.,ASND," 29,911,474 "," 77,692,139 ", Mining ,,TSXV Grad,20170720,ON,Canada,,,,1,1,,,,,,,,,,,,C,,,,,," 6,148,129 "," 2,563,976 "," 1,951 ", 8 ,,,,,Honduras,,Portugal,,,1,1,1,,,,,1,1,1,,,,,,,,,
EME0008,TSX,Atalaya Mining plc,AYM," 446,352,160 "," 137,339,126 ", Mining ,,IPO,20101220,Cyprus,UK/Europe,AIM,,,,,,,,,,,,,,,,F,,,,,," 44,496 "," 158,906 ", 130 , 8 ,,,,,,,Spain,,,,1,1,,,,,,,,,,,,,,,,
ATC0001,TSX,Atco Ltd.,ACO," 5,455,334,717 "," 114,678,265 ", Utilities & Pipelines ,,,19680308,AB,Canada,,,,,,1,,,,,,,,,,,C,,,,,," 29,127,764 "," 1,291,160,010 "," 215,108 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATH0005,TSX,Athabasca Oil Corporation,ATH," 298,229,327 "," 523,209,346 ", Oil & Gas ,,IPO,20100407,AB,Canada,,,,,,,,,,,,,,,,,C,,,,,," 136,547,501 "," 122,222,186 "," 50,264 ", 8 ,,,AB,,,,,,1,,,,,,,,,,,,,,,,,,,
ATL0008,TSX,Atlantic Power Corporation,ATP," 454,375,618 "," 110,531,678 ", Clean Technology ,,IPO,20041117,USA,USA,NYSE,,,,,,Utilities & Pipelines,Renewable Energy Production and Distribution,,,,,Boston,MA,,,C,,,,,2009," 9,102,643 "," 39,085,014 "," 42,219 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPC0003,TSX,Atlantic Power Preferred Equity Ltd.,AZP," 124,900,500 "," 7,429,022 ", Clean Technology ,,IPO,20070524,USA,USA,,,,,,,Utilities & Pipelines,Renewable Energy Production and Distribution,,,,,Boston,MA,,,C,,,,,," 1,479,108 "," 23,492,587 "," 2,507 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATL0009,TSX,Atlatsa Resources Corporation,ATL," 47,125,854 "," 554,421,806 ", Mining ,,TSXV Grad,20140205,South Africa,Africa,JSE,,,1,,,,,,,,,,,,,C,,,,,," 4,978,106 "," 415,862 ", 525 , 8 ,South Africa,,,,,,,,,,,,,,,1,,,,,,,,,,,,
ATR0002,TSX,Atrium Mortgage Investment Corporation,AI," 703,632,874 "," 41,063,203 ", Financial Services ,,Other,20120904,ON,Canada,,,,,,,,,,,,,,,,,C,,,,,," 5,366,475 "," 91,118,979 "," 23,102 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATS0001,TSX,ATS Automation Tooling Systems Inc.,ATA," 1,689,661,413 "," 91,979,391 ", Industrial Products & Services ,,,19931221,ON,Canada,,,,,,1,,,,,,,,,,,C,,,,,," 34,658,699 "," 660,334,970 "," 172,517 ", 8 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUR0011,TSX,Aura Minerals Inc.,ORA," 78,674,359 "," 4,353,866 ", Mining ,,Other,20060725,BC,Canada,,,,,,,,,,,,,,,,,F,,,,,," 254,193 "," 4,268,851 ", 704 , 8 ,,,,,"Brazil,Colombia,Honduras,Mexico",,,,,1,,1,,,,,,,,,,,,,,1,,
